scenario_id,N_low,N_high,direct_alpha,reconstructed_alpha,residual,log_mean_variance
scenario_1_iid,4,8,1.0,1.0000000000000002,-2.220446049250313e-16,0.18033688011112042
scenario_1_iid,8,16,1.0,0.9999999999999998,2.220446049250313e-16,0.09016844005556021
scenario_1_iid,16,32,1.0,0.9999999999999998,2.220446049250313e-16,0.045084220027780106
scenario_1_iid,32,64,1.0,1.0000000000000007,-6.661338147750939e-16,0.022542110013890053
scenario_1_rho_0_15,4,8,0.5004289905094886,0.5004289905094885,1.1102230246251565e-16,0.3063098881189737
scenario_1_rho_0_15,8,16,0.3351841915896293,0.33518419158962925,5.551115123125783e-17,0.2286598711106922
scenario_1_rho_0_15,16,32,0.20218885061326675,0.20218885061326697,-2.220446049250313e-16,0.18953363109478294
scenario_1_rho_0_15,32,64,0.11281983033430497,0.112819830334305,-2.7755575615628914e-17,0.16983533351388447
scenario_2_heterogeneous_independent,4,8,0.5815750573353238,0.5815750573353238,0.0,0.45353675548469274
scenario_2_heterogeneous_independent,8,16,0.5212715835281969,0.5212715835281968,1.1102230246251565e-16,0.30905852797977906
scenario_2_heterogeneous_independent,16,32,0.46708768127060873,0.46708768127060885,-1.1102230246251565e-16,0.21918617302706084
scenario_2_heterogeneous_independent,32,64,0.42188044378080886,0.4218804437808087,1.6653345369377348e-16,0.16093899140683413
